No,Headline
1,At least 20 dead in Haiti as Jamaican minister warns Hurricane Melissa recovery 'won't be easy'
2,Three things you need to know about the Trump-Xi meeting
3,'My hopes are dashed': Illegal Indian migrants deported by US speak to BBC
4,"Jamaicans take stock after hurricane causes damage, flooding and power cuts"
5,Australian girls being 'hunted' by online crime gangs to commit violent acts
6,Three things you need to know about the Trump-Xi meeting
7,S Korea announces lowering of tariffs as part of new US trade deal
8,"Heathrow, NatWest and Minecraft sites down in Microsoft global outage"
9,Investigation after woman left behind by cruise ship dies on island
10,'My hopes are dashed': Illegal Indian migrants deported by US speak to BBC
